Name,Stuff
Trigonometric Ratios and Identities,"JEE, Math"
Foundation Physics,"JEE, Physics"
Kinematics,"JEE, Physics"
Thermodynamics,"Chemistry, NCERT"
Structure of the Atom,"Chemistry, JEE"
Portrait of a lady,"English, NCERT"
Structure of an Atom,"Chemistry, NCERT"
The Summer of the Beautiful White Horse,"English, NCERT"
Inequalities,"Math, NCERT"
Basic Concepts of Chemistry,"Chemistry, JEE"
The Laburnum Top,"English, NCERT"
We are not afraid to die,"English, NCERT"
The Photograph,"English, NCERT"
Vectors,"JEE, Physics"
Motion in a Straight Line,"NCERT, Physics"
Quadratic Equation,"JEE, Math"
Sets,"Math, NCERT"
